card_name,ai_rating,pro_rating,description
Banishing Light,3.9,3.5,This is always great removal because it goes after any nonland permanent very efficiently.
"Beza, the Bounding Spring",4.8,5,"By design, Beza can pull you ahead from behind. If you're at parity you probably still get a couple triggers, and if you're ahead a 4/5 on it's own is still pretty scary."
Brave-Kin Duo,2.2,2,"This is a decent way to repeatedly trigger valiant, though you'd be surprised how often you don't want to spend one mana and tap a creature for this effect."
Brightblade Stoat,4.4,3.5,This has great stats and keywords and White has plenty of ways to enhance it's stats to make it even scarier.
Builder's Talent,3.1,0.5 // 2.5,"It's tough to get enough noncreature nonlands to get this going, but if you can it's a pretty solid buildaround."
Caretaker's Talent,4.4,1.5 // 4.5,"If you're in any token-heavy deck (which usually mean Green-White) this is going to be one of the best cards in your deck, but most White decks won't have enough tokens for this."
Carrot Cake,3.7,2,"So, if you take all the parts together here – you pay 4 mana for 3 life and two 1/1s that scry 1. That’s not horrendous to begin with, and you can pay it for it in installments."
Crumb and Get It,2.8,2.5,"This is a super efficient trick, which has extra value in a format with Valiant."
Dawn's Truce,2.7,0,"This style of card is always too narrow in Limited. It ony does something meaningful in very specific scenarios, and that type of card is a massive liability."
Dewdrop Cure,2.6,2,"Three mana to reanimate two small creatures is a pretty good deal, but how often will you have stuff in the graveyard to get back? Not often enough for this to always make the cut."
Driftgloom Coyote,3.9,4,"Banisher Priest-like creatures are always great, and this one is extra beefy -- and gets beefier if you exile a low power creature. Adding to the board while removing something of your opponent's is simply one of the strongest things you can do."
Essence Channeler,4.4,3,"This has a decent baseline, so it can work alright in any White deck -- since most will have a little life gain, but it'll be really powerful in Black-White."
Feather of Flight,3.5,3,"This is a great aura because it has Flash and it replaces itself up front, while sending your best creature into the air."
Flowerfoot Swordmaster,3,2.5,"This is a really good Valiant trigger when you've got enough Mice, and you're likely to in Red-White."
Harvestrite Host,3.5,3,"The baseline here is solid, but the card gets really insane when you have multiple ways to make multiple rabbits -- and there are ways to do that at Common and Uncommon."
Hop to It,3.9,3.5,"Three bodies for three mana is a nice deal, especially in a format where White wants to go wide and can get extra value out of tokens."
